76;5;Laporte;ATHLETIC CLUB;BASE;Nuevos I
77;6;Etxeita;ATHLETIC CLUB;BASE;Nuevos I
78;7;Balenziaga;ATHLETIC CLUB;BASE;Nuevos I
79;8;San José;ATHLETIC CLUB;BASE;Nuevos I
80;9;Beñat;ATHLETIC CLUB;BASE;Nuevos I
81;10A;Iturraspe;ATHLETIC CLUB;BASE;Nuevos I
82;10B;Elustondo;ATHLETIC CLUB;BASE;Nuevos I
83;11A;Mikel Rico;ATHLETIC CLUB;BASE;Nuevos I
84;11B;Eraso;ATHLETIC CLUB;BASE;Nuevos I
85;12;Susaeta;ATHLETIC CLUB;BASE;Nuevos I
86;13;Raúl García;ATHLETIC CLUB;BASE;Nuevos I
87;14A;Muniain;ATHLETIC CLUB;BASE;Nuevos I
88;14B;Sabin Merino;ATHLETIC CLUB;BASE;Nuevos I
89;15;Williams;ATHLETIC CLUB;BASE;Nuevos I
90;16;Aduriz;ATHLETIC CLUB;BASE;Nuevos I
91;2BIS;Kepa;ATHLETIC CLUB;BASE;Nuevos IV
92;7BIS;Vesga;ATHLETIC CLUB;BASE;Nuevos IV
101;1;Oblak;ATLÉTICO DE MADRID;BASE;Nuevos I
102;2;Moyà;ATLÉTICO DE MADRID;BASE;Nuevos I
103;3;Juanfran;ATLÉTICO DE MADRID;BASE;Nuevos I
104;4;Godín;ATLÉTICO DE MADRID;BASE;Nuevos I
105;5;Giménez;ATLÉTICO DE MADRID;BASE;Nuevos I
106;6A;Savic;ATLÉTICO DE MADRID;BASE;Nuevos I
107;6B;Lucas;ATLÉTICO DE MADRID;BASE;Nuevos I
108;7;Filipe Luis;ATLÉTICO DE MADRID;BASE;Nuevos I
109;8;Gabi;ATLÉTICO DE MADRID;BASE;Nuevos I
110;9A;Tiago;ATLÉTICO DE MADRID;BASE;Nuevos I
111;9B;Thomas;ATLÉTICO DE MADRID;BASE;Nuevos I
112;10;Augusto Fernández;ATLÉTICO DE MADRID;BASE;Nuevos I
113;11;Saúl;ATLÉTICO DE MADRID;BASE;Nuevos I
114;12;Koke;ATLÉTICO DE MADRID;BASE;Nuevos I
115;13;Carrasco;ATLÉTICO DE MADRID;BASE;Nuevos I
116;14;Correa;ATLÉTICO DE MADRID;BASE;Nuevos I
117;15;Griezmann;ATLÉTICO DE MADRID;BASE;Nuevos I
118;16;Fernando Torres;ATLÉTICO DE MADRID;BASE;Nuevos I
131;1;Bravo;FC BARCELONA;BASE;Nuevos I
132;2;Ter Stegen;FC BARCELONA;BASE;Nuevos I
133;3;Aleix Vidal;FC BARCELONA;BASE;Nuevos I
134;4;Piqué;FC BARCELONA;BASE;Nuevos I
135;5;Mascherano;FC BARCELONA;BASE;Nuevos I
136;6A;Mathieu;FC BARCELONA;BASE;Nuevos I
137;6B;Vermaelen;FC BARCELONA;BASE;Nuevos I
138;7;Jordi Alba;FC BARCELONA;BASE;Nuevos I
139;8;Sergio Busquets;FC BARCELONA;BASE;Nuevos I
140;9;Rakitic;FC BARCELONA;BASE;Nuevos I
141;10;Sergi Roberto;FC BARCELONA;BASE;Nuevos I
142;11;Arda Turan;FC BARCELONA;BASE;Nuevos I
143;12;Iniesta;FC BARCELONA;BASE;Nuevos I
144;13A;Rafinha;FC BARCELONA;BASE;Nuevos I
145;13B;Munir;FC BARCELONA;BASE;Nuevos I
146;14;Messi;FC BARCELONA;BASE;Nuevos I
147;15;Neymar;FC BARCELONA;BASE;Nuevos I
148;16;Luis Suárez;FC BARCELONA;BASE;Nuevos I
149;1BIS;Cillessen;FC BARCELONA;BASE;Nuevos IV
161;1;Adán;REAL BETIS;BASE;Nuevos I
162;2;Dani Giménez;REAL BETIS;BASE;Nuevos I
163;3;Piccini;REAL BETIS;BASE;Nuevos I
164;4A;Pezzella;REAL BETIS;BASE;Nuevos I
